name,link,manufacturer,image,category,review
Raspberry Pi 4 2G,https://amzn.to/3wvFeyj,Raspberry Pi,,Computer,/review/raspberrypi_4_2g
Raspberry Pi Compute Module 4 IO Board,https://amzn.to/3Tbg81x,Raspberry Pi,https://ws-eu.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B09V86MNJ9&Format=_SL160_&ID=AsinImage&MarketPlace=GB&ServiceVersion=20070822&WS=1&tag=kevinmcalee0f-21&language=en_GB,Computer,
Raspberry Pi 400,https://amzn.to/3cllAOL,Raspberry Pi,https://ws-eu.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B08Q5YFM9C&Format=_SL160_&ID=AsinImage&MarketPlace=GB&ServiceVersion=20070822&WS=1&tag=kevinmcalee0f-21&language=en_GB,Computer,
